date,equipe_dom,score_dom,score_ext,equipe_ext,classement_dom,classement_ext
7 avril 2018 Saison régulière,Phoenix Suns,,,New Orleans Pelicans,,
7 avril 2018 Saison régulière,LA Lakers,,,Minnesota Timberwolves,,
7 avril 2018 Saison régulière,LA Clippers,,,Denver Nuggets,,
6 avril 2018 Saison régulière,Indiana Pacers,,,Golden State Warriors,,
6 avril 2018 Saison régulière,Cleveland Cavaliers,,,Washington Wizards,,
6 avril 2018 Saison régulière,Milwaukee Bucks,,,Brooklyn Nets,,
6 avril 2018 Saison régulière,Houston Rockets,,,Portland Trail Blazers,,
6 avril 2018 Saison régulière,Utah Jazz,,,LA Clippers,,
6 avril 2018 Saison régulière,Denver Nuggets,,,Minnesota Timberwolves,,
5 avril 2018 Saison régulière,Detroit Pistons,,,Philadelphia 76ers,,
5 avril 2018 Saison régulière,Toronto Raptors,,,Boston Celtics,,
5 avril 2018 Saison régulière,Orlando Magic,,,Dallas Mavericks,,
5 avril 2018 Saison régulière,Atlanta Hawks,,,Miami Heat,,
5 avril 2018 Saison régulière,New Orleans Pelicans,,,Memphis Grizzlies,,
5 avril 2018 Saison régulière,LA Lakers,,,San Antonio Spurs,,
4 avril 2018 Saison régulière,Cleveland Cavaliers,,,Toronto Raptors,,
4 avril 2018 Saison régulière,Philadelphia 76ers,,,Brooklyn Nets,,
4 avril 2018 Saison régulière,Miami Heat,,,Atlanta Hawks,,
4 avril 2018 Saison régulière,New York Knicks,,,Orlando Magic,,
4 avril 2018 Saison régulière,Chicago Bulls,,,Charlotte Hornets,,
2 avril 2018 Saison régulière,New Orleans Pelicans,,,Oklahoma City Thunder,,
4 avril 2018 Saison régulière,Milwaukee Bucks,,,Boston Celtics,,
4 avril 2018 Saison régulière,Houston Rockets,,,Washington Wizards,,
4 avril 2018 Saison régulière,Oklahoma City Thunder,,,Golden State Warriors,,
2 avril 2018 Saison régulière,Atlanta Hawks,,,Orlando Magic,,
2 avril 2018 Saison régulière,Cleveland Cavaliers,,,Dallas Mavericks,,
2 avril 2018 Saison régulière,Brooklyn Nets,,,Detroit Pistons,,
4 avril 2018 Saison régulière,Dallas Mavericks,,,Portland Trail Blazers,,
4 avril 2018 Saison régulière,Denver Nuggets,,,Indiana Pacers,,
4 avril 2018 Saison régulière,Utah Jazz,,,LA Lakers,,
4 avril 2018 Saison régulière,Phoenix Suns,,,Sacramento Kings,,
4 avril 2018 Saison régulière,LA Clippers,,,San Antonio Spurs,,
2 avril 2018 Saison régulière,Minnesota Timberwolves,,,Utah Jazz,,
2 avril 2018 Saison régulière,Denver Nuggets,,,Milwaukee Bucks,,
2 avril 2018 Saison régulière,Golden State Warriors,,,Phoenix Suns,,
2 avril 2018 Saison régulière,Portland Trail Blazers,,,Memphis Grizzlies,,
2 avril 2018 Saison régulière,LA Lakers,,,Sacramento Kings,,
31 mars 2018 Saison régulière,Orlando Magic,,,Chicago Bulls,,
31 mars 2018 Saison régulière,Atlanta Hawks,,,Philadelphia 76ers,,
31 mars 2018 Saison régulière,Cleveland Cavaliers,,,New Orleans Pelicans,,
31 mars 2018 Saison régulière,Houston Rockets,,,Phoenix Suns,,
31 mars 2018 Saison régulière,Oklahoma City Thunder,,,Denver Nuggets,,
1 avril 2018 Saison régulière,Boston Celtics,,,Toronto Raptors,,
31 mars 2018 Saison régulière,Dallas Mavericks,,,Minnesota Timberwolves,,
31 mars 2018 Saison régulière,Utah Jazz,,,Memphis Grizzlies,,
31 mars 2018 Saison régulière,LA Lakers,,,Milwaukee Bucks,,
31 mars 2018 Saison régulière,Portland Trail Blazers,,,LA Clippers,,
1 avril 2018 Saison régulière,Miami Heat,,,Brooklyn Nets,,
1 avril 2018 Saison régulière,Sacramento Kings,,,Golden State Warriors,,
1 avril 2018 Saison régulière,Charlotte Hornets,,,Philadelphia 76ers,,
1 avril 2018 Saison régulière,Chicago Bulls,,,Washington Wizards,,
1 avril 2018 Saison régulière,LA Clippers,,,Indiana Pacers,,
31 mars 2018 Saison régulière,Washington Wizards,,,Charlotte Hornets,,
31 mars 2018 Saison régulière,New York Knicks,,,Detroit Pistons,,
1 avril 2018 Saison régulière,San Antonio Spurs,,,Houston Rockets,,
30 mars 2018 Saison régulière,Detroit Pistons,,,Washington Wizards,,
30 mars 2018 Saison régulière,Miami Heat,,,Chicago Bulls,,
30 mars 2018 Saison régulière,San Antonio Spurs,,,Oklahoma City Thunder,,
30 mars 2018 Saison régulière,Sacramento Kings,,,Indiana Pacers,,
